codigo_produto;descricao;um;qtde_cx;codigo_barras;tipo;descricao_tecnica;estoque;preco;preco_promocional
10.039;LIMAS AGULHA COM CABO JG 6PCS 7915 SC;JG;;7899807213866;FERRAMENTAS;"Jogo com 6 Limas Agulha com Cabo - 7915 - BRASFORT

Descrição:
O jogo de limas agulha da Brasfort traz a qualidade e resistência que você procura ao realizar trabalhos que necessitem de maior precisão como micromecânica, ferramentas, ourives e similares.

* Imagens meramente ilustrativas.";15;44,9;0
100.404;PISO 30X30 36DADOS VERMELH AM5PCS 0,80M2 ARTESANAL;AM;;9999910040408;PISOS E REVESTIMENTOS;"Piso 36 Dados Vermelho 30x30cm Amarrado com 5 Peças 0,45m² - ARTESANAL
A Pisos Paulista, possuí 15 anos de ""know-how"" na fabricação de pisos hidráulicos, aplicando seus produtos em: calçadas, passeios públicos, praças, garagens, estacionamentos, rampas para automóveis, ambientes internos, bordas de piscinas e recuperação de pisos de construções históricas. - COr: vermelho 
- 
Medidas: 30x30cm - COntém 5 unidades de piso 
- Amarrado com 0,45m² 
* Imagens Meramente ilustrativas";61;57,14;0
10.040;LIMAS AGULHA COM CABO JG 12PCS 7916 SC;JG;;7899807213873;FERRAMENTAS;"Jogo com 12 Limas Agulha com Cabo - 7916 - BRASFORT

Descrição:
O jogo de limas agulha da Brasfort traz a qualidade e resistência que você procura ao realizar trabalhos que necessitem de maior precisão como micromecânica, ferramentas, ourives e similares.

* Imagens meramente ilustrativas.";13;89,9;0
10.122;CHAVE COMBINADA FOSFATIZADA 25MM CRV 1PC SPARTA;PC;;7899612718891;FERRAMENTAS;"Chave Combinada Fosfatizada em Aço CrV 25mm - 1492055 - SPARTA

Descrição:
A chave combinada é ideal para apertar ou afrouxar porcas, possuindo cabeças estreitas e com medidas diferentes em cada extremidade. 
- Feita em aço cromado vanádio
- Acabamento: fosfatizada

Medidas:
- Chave com 25mm
- Comprimento total: 305mm

* Imagens meramente ilustrativas.";16;34,99;0
10.052;PONTEIRO SDS PLUS 250MM 7918 SC;PC;;7899807213897;FERRAMENTAS;"Ponteiro SDS PLUS 250mm sem Cabo - 7918 - BRASFORT

Descrição:
Ideal para construção civil, perfurar e quebrar concreto, paredes, pisos e azulejos e entre outros
- Composição: liga de aço.

* Imagens meramente ilustrativas.";13;17,9;0
10.053;PONTEIRO SDS MAX 400MM 7919 SC;PC;;7899807213903;FERRAMENTAS;"Ponteiro SDS MAX 400mm sem Cabo - 7919 - BRASFORT

Descrição:
Ideal para construção civil, perfurar e quebrar concreto, paredes, pisos e azulejos e entre outros.
- Composição: liga de aço

* Imagens meramente ilustrativas.";86;38,9;0
10.055;TALHADEIRA SDS PLUS 20X250MM 7920 SC;PC;;7899807213910;FERRAMENTAS;"Talhadeira SDS Plus 20x250mm sem Cabo - 7920 - BRASFORT

Descrição:
Ideal para construção civil, perfurar e quebrar concreto, paredes, pisos e azulejos, etc.
- Composição: liga de aço

* Imagens meramente ilustrativas.";13;18,9;0
10.056;TALHADEIRA SDS PLUS 40X250MM 7921 SC;PC;;7899807213927;FERRAMENTAS;"Talhadeira SDS Plus 40x250mm sem Cabo - 7921 - BRASFORT

Descrição:
Ideal para construção civil, perfurar e quebrar concreto, paredes, pisos e azulejos, etc.
- Composição: liga de aço

* Imagens meramente ilustrativas.";19;28,9;0
100.579;MANTA TERMICA SUBCOBERTURA LITFOIL 2 FACE 25M2;PC;;7898649615722;MATERIAIS PARA CONSTRUÇÃO;"Manta Térmica Litfoil 2 Face 25m2 - 628250024 - BRASILIT
Descrição:  A manta impermeável LitFoil é uma subcobertura térmica que pode ser utilizada sob telhas de fibrocimento, barro e outras e serve para isolar a temperatura, mantendo a temperatura interna da construção sempre agradável. Além disso, ela reduz a passagem de calor e protege o interior da casa contra infiltrações. Veja como aplicar o produto Subcobertura LitFoil: Método sem ripamento: 1) Os arames galvanizados devem ser fixados no telhado, respeitando um espaçamento máximo de 1,0 m entre eles. 2) A instalação deve começar no beiral do telhado. Estenda o rolo da subcobertura LitFoil horizontalmente sobre os arames e faça a fixação nas extremidades com pregos (estrutura de madeira) ou parafusos (estrutura de aço). 3) A instalação deve ser feita respeitando a sequência (do beiral para cima). Para cada faixa de produto, respeite a sobreposição de 10 cm. Na sobreposição, recomenda-se a utilização da Fita Autoadesiva Metalizada FoilTape para perfeita vedação e segurança contra infiltrações. 4) A instalação da contraterça é fundamental para prolongar a vida útil do produto. Deve haver um espaçamento de, no mínimo, 5 cm entre as telhas onduladas ou estruturais e a manta LitFoil. Método com ripamento: 1)Para esse método, adota-se um telhado padrão composto por tesouras, terças e caibros. 2) A instalação deve começar no beiral do telhado, respeitando o sentida de instalação de baixo pra cima. É necessário estender o rolo da manta horizontalmente, fazendo a fixação previamente com pregos (caso a estrutura seja de madeira) ou parafusos (para estrutura de aço). 3) A instalação deve ser feita respeitando a sequência (do beiral para cima). Para cada faixa de produto, respeite a sobreposição de 10 cm. Na sobreposição, recomenda-se a utilização da Fita Autoadesiva Metalizada FoilTape para perfeita vedação e segurança contra infiltrações. 4) Para fixação definitiva, aplique ripas (contracaibros) sobre a manta LitFoil pregando-as no mesmo sentido dos caibros. É importante que a manta esteja esticada, evitando formar bolsões de água caso aconteça infiltrações no telhado. Essa é uma etapa muito importante porque é necessária uma distância mínima obrigatória de 5 cm entre a telha e a manta para o ripamento que será instalado logo depois. 5) Após a instalação dos contracaibros, aplique o ripamento respeitando o tamanho da telha. 6) Por último, instale as telhas. Recomendações adicionais: - O produto deve ser armazenado em local seco, ventilado e coberto. - Não deixe a manta entrar em contato direto com produtos químicos (se houver aplicação no telhado, espere a secagem total antes da instalação da manta) - No transporte, proteja o produto da chuva 
- Durante a instalação, proteja o produto de materiais abrasivos como areia, cimento, pedras, entre outros. Dimensão do rolo: 25 m2 (1,20 x 20,84 m)  
- Alumínio, Polietileno e Reforço.  
- Garantia de 5 anos. Dicas de Segurança: 
- Sempre utilize ferramentas adequadas. - Use máscaras toda vez que cortar ou furar produtos com ferramentas elétricas que produzem pó fino .*Imagens meramente ilustrativa.";17;159,9;0
100.587;"BUCHA REDUCAO TELESCOPICA 1/2"" 3/4"" 5/8""";PC;10;7891345308950;FERRAGENS;"Bucha Redução Telescópica 1/2"" 3/4"" 5/8"" - NORTON 
- A bucha de redução telescópica da Norton permite a montagem em diversos eixos. - Não deforma - É produzida em poliestireno de alto impacto - PROduz menor vibração e maior estabilidade do rebolo. 
*Imagem meramente Ilustrativa";36;3,9;0
